PARENT_KEY_NODE_KEY               ,PO_ITEM_POS,PRODUCT_GUID_NODE_KEY    ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          
74867AD200E41EDBA5D8B0C98DC2E052  ,40,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,1188.81,999.00,189.81
74867AD200E41EDBA5D8B0C98DC2E052  ,50,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,339.15,285.00,54.15
74867AD200E41EDBA5D8B0C98DC30052  ,10,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,107.08,89.98,17.10
74867AD200E41EDBA5D8B0C98DC30052  ,20,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,95.08,79.90,15.18
74867AD200E41EDBA5D8B0C98DC30052  ,30,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,3927.00,3300.00,627.00
74867AD200E41EDBA5D8B0C98DC30052  ,40,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,53.54,44.99,8.55
74867AD200E41EDBA5D8B0C98DC30052  ,50,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,285.24,239.70,45.54
74867AD200E41EDBA5D8B0C98DC32052  ,10,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,53.55,45.00,8.55
74867AD200E41EDBA5D8B0C98DC32052  ,20,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,2972.62,2498.00,474.62
74867AD200E41EDBA5D8B0C98DC32052  ,30,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.40,17.98,3.42
74867AD200E41EDBA5D8B0C98DC32052  ,40,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135.00,25.65
74867AD200E41EDBA5D8B0C98DC32052  ,50,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,2972.62,2498.00,474.62
74867AD200E41EDBA5D8B0C98DC32052  ,60,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.40,17.98,3.42
74867AD200E41EDBA5D8B0C98DC32052  ,70,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135.00,25.65
74867AD200E41EDBA5D8B0C98DC34052  ,10,74867AD200E41EDBA5D8B06B26F2E052  ,MXN          ,210.63,177.00,33.63
74867AD200E41EDBA5D8B0C98DC34052  ,20,74867AD200E41EDBA5D8B06B26ED4052  ,MXN          ,1463.70,1230.00,233.70
74867AD200E41EDBA5D8B0C98DC34052  ,30,74867AD200E41EDBA5D8B06B26F88052  ,MXN          ,2673.93,2247.00,426.93
74867AD200E41EDBA5D8B0C98DC36052  ,10,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,333.18,279.98,53.20
74867AD200E41EDBA5D8B0C98DC36052  ,20,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,224.91,189.00,35.91
74867AD200E41EDBA5D8B0C98DC36052  ,30,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,166.59,139.99,26.60
74867AD200E41EDBA5D8B0C98DC36052  ,40,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,149.94,126.00,23.94
74867AD200E41EDBA5D8B0C98DC36052  ,50,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,333.18,279.98,53.20
74867AD200E41EDBA5D8B0C98DC36052  ,60,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,74.97,63.00,11.97
74867AD200E41EDBA5D8B0C98DC36052  ,70,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,499.76,419.97,79.79
74867AD200E41EDBA5D8B0C98DC36052  ,80,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,74.97,63.00,11.97
74867AD200E41EDBA5D8B0C98DC38052  ,10,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,1023.40,860.00,163.40
74867AD200E41EDBA5D8B0C98DC38052  ,20,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0.00,0.00,0.00
74867AD200E41EDBA5D8B0C98DC38052  ,30,74867AD200E41EDBA5D8B06B26F2C052  ,CAD          ,116.62,98.00,18.62
74867AD200E41EDBA5D8B0C98DC38052  ,40,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,1535.10,1290.00,245.10
74867AD200E41EDBA5D8B0C98DC38052  ,50,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0.00,0.00,0.00
74867AD200E41EDBA5D8B0C98DC38052  ,60,74867AD200E41EDBA5D8B06B26F2C052  ,CAD          ,116.62,98.00,18.62
74867AD200E41EDBA5D8B0C98DC3A052  ,10,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1218.56,1024.00,194.56
74867AD200E41EDBA5D8B0C98DC3A052  ,20,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,21.18,17.80,3.38
74867AD200E41EDBA5D8B0C98DC3A052  ,30,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,188.02,158.00,30.02
74867AD200E41EDBA5D8B0C98DC3C052  ,10,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,1166.20,980.00,186.20
74867AD200E41EDBA5D8B0C98DC3C052  ,20,74867AD200E41EDBA5D8B06B26F32052  ,ARS          ,83.30,70.00,13.30
74867AD200E41EDBA5D8B0C98DC3C052  ,30,74867AD200E41EDBA5D8B06B26F8C052  ,ARS          ,2259.81,1899.00,360.81
74867AD200E41EDBA5D8B0C98DC3C052  ,40,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,1166.20,980.00,186.20
74867AD200E41EDBA5D8B0C98DC3C052  ,50,74867AD200E41EDBA5D8B06B26F32052  ,ARS          ,83.30,70.00,13.30
74867AD200E41EDBA5D8B0C98DC3C052  ,60,74867AD200E41EDBA5D8B06B26F8C052  ,ARS          ,753.27,633.00,120.27
74867AD200E41EDBA5D8B0C98DC3C052  ,70,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,1749.30,1470.00,279.30
74867AD200E41EDBA5D8B0C98DC3E052  ,10,74867AD200E41EDBA5D8B06B26F54052  ,ARS          ,34.51,29.00,5.51
74867AD200E41EDBA5D8B0C98DC3E052  ,20,74867AD200E41EDBA5D8B06B26EFA052  ,ARS          ,253.11,212.70,40.41
74867AD200E41EDBA5D8B0C98DC3E052  ,30,74867AD200E41EDBA5D8B06B26F54052  ,ARS          ,103.53,87.00,16.53
74867AD200E41EDBA5D8B0C98DC3E052  ,40,74867AD200E41EDBA5D8B06B26EFA052  ,ARS          ,84.37,70.90,13.47
74867AD200E41EDBA5D8B0C98DC40052  ,10,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,2322.88,1952.00,370.88
74867AD200E41EDBA5D8B0C98DC40052  ,20,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,2853.62,2398.00,455.62
74867AD200E41EDBA5D8B0C98DC40052  ,30,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,26.18,22.00,4.18
74867AD200E41EDBA5D8B0C98DC40052  ,40,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,3484.32,2928.00,556.32
74867AD200E41EDBA5D8B0C98DC40052  ,50,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,2853.62,2398.00,455.62
74867AD200E41EDBA5D8B0C98DC40052  ,60,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,26.18,22.00,4.18
74867AD200E41EDBA5D8B0C98DC40052  ,70,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,1161.44,976.00,185.44
74867AD200E41EDBA5D8B0C98DC40052  ,80,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,2853.62,2398.00,455.62
74867AD200E41EDBA5D8B0C98DC40052  ,90,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,39.27,33.00,6.27
74867AD200E41EDBA5D8B0C98DC42052  ,10,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,10.70,8.99,1.71
74867AD200E41EDBA5D8B0C98DC42052  ,20,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135.00,25.65
74867AD200E41EDBA5D8B0C98DC42052  ,30,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,2972.62,2498.00,474.62
74867AD200E41EDBA5D8B0C98DC42052  ,40,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.40,17.98,3.42
74867AD200E41EDBA5D8B0C98DC42052  ,50,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135.00,25.65
74867AD200E41EDBA5D8B0C98DC42052  ,60,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,2972.62,2498.00,474.62
74867AD200E41EDBA5D8B0C98DC42052  ,70,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.40,17.98,3.42
74867AD200E41EDBA5D8B0C98DC44052  ,10,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,46.41,39.00,7.41
74867AD200E41EDBA5D8B0C98DC44052  ,20,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,33.32,28.00,5.32
74867AD200E41EDBA5D8B0C98DC44052  ,30,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,46.41,39.00,7.41
74867AD200E41EDBA5D8B0C98DC44052  ,40,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,16.66,14.00,2.66
74867AD200E41EDBA5D8B0C98DC44052  ,50,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,46.41,39.00,7.41
74867AD200E41EDBA5D8B0C98DC44052  ,60,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,49.98,42.00,7.98
74867AD200E41EDBA5D8B0C98DC46052  ,10,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,4280.43,3597.00,683.43
74867AD200E41EDBA5D8B0C98DC46052  ,20,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,5.47,4.60,0.87
74867AD200E41EDBA5D8B0C98DC46052  ,30,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,410.55,345.00,65.55
74867AD200E41EDBA5D8B0C98DC46052  ,40,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,4280.43,3597.00,683.43
74867AD200E41EDBA5D8B0C98DC46052  ,50,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,5.47,4.60,0.87
74867AD200E41EDBA5D8B0C98DC46052  ,60,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,410.55,345.00,65.55
74867AD200E41EDBA5D8B0C98DC46052  ,70,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,2853.62,2398.00,455.62
74867AD200E41EDBA5D8B0C98DC46052  ,80,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,8.21,6.90,1.31
74867AD200E41EDBA5D8B0C98DC46052  ,90,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,821.10,690.00,131.10
74867AD200E41EDBA5D8B0C98DC48052  ,10,74867AD200E41EDBA5D8B06B26EDE052  ,USD          ,235.62,198.00,37.62
74867AD200E41EDBA5D8B0C98DC48052  ,20,74867AD200E41EDBA5D8B06B26F92052  ,USD          ,1651.72,1388.00,263.72
74867AD200E41EDBA5D8B0C98DC48052  ,30,74867AD200E41EDBA5D8B06B26F38052  ,USD          ,54.74,46.00,8.74
74867AD200E41EDBA5D8B0C98DC4A052  ,10,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,10.70,8.99,1.71
74867AD200E41EDBA5D8B0C98DC4A052  ,20,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,107.10,90.00,17.10
74867AD200E41EDBA5D8B0C98DC4C052  ,10,74867AD200E41EDBA5D8B06B26EC0052  ,JPY          ,8207.43,6897.00,1310.43
74867AD200E41EDBA5D8B0C98DC4C052  ,20,74867AD200E41EDBA5D8B06B26F74052  ,JPY          ,6069.00,5100.00,969.00
74867AD200E41EDBA5D8B0C98DC4C052  ,30,74867AD200E41EDBA5D8B06B26F1A052  ,JPY          ,65.45,55.00,10.45
74867AD200E41EDBA5D8B0C98DC4C052  ,40,74867AD200E41EDBA5D8B06B26EC0052  ,JPY          ,5471.62,4598.00,873.62
74867AD200E41EDBA5D8B0C98DC4E052  ,10,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,285.24,239.70,45.54
74867AD200E41EDBA5D8B0C98DC4E052  ,20,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,1963.50,1650.00,313.50
74867AD200E41EDBA5D8B0C98DC4E052  ,30,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,160.61,134.97,25.64
74867AD200E41EDBA5D8B0C98DC4E052  ,40,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,95.08,79.90,15.18
74867AD200E41EDBA5D8B0C98DC4E052  ,50,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,5890.50,4950.00,940.50
74867AD200E41EDBA5D8B0C98DC4E052  ,60,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,53.54,44.99,8.55
74867AD200E41EDBA5D8B0C98DC50052  ,10,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598.00,113.62
74867AD200E41EDBA5D8B0C98DC50052  ,20,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,194.45,163.40,31.05
74867AD200E41EDBA5D8B0C98DC50052  ,30,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598.00,113.62
74867AD200E41EDBA5D8B0C98DC50052  ,40,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,194.45,163.40,31.05
74867AD200E41EDBA5D8B0C98DC50052  ,50,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,355.81,299.00,56.81
74867AD200E41EDBA5D8B0C98DC50052  ,60,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,97.22,81.70,15.52
74867AD200E41EDBA5D8B0C98DC50052  ,70,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598.00,113.62
74867AD200E41EDBA5D8B0C98DC50052  ,80,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,291.67,245.10,46.57
74867AD200E41EDBA5D8B0C98DC50052  ,90,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598.00,113.62
74867AD200E41EDBA5D8B0C98DC52052  ,10,74867AD200E41EDBA5D8B06B26EC0052  ,JPY          ,5471.62,4598.00,873.62
74867AD200E41EDBA5D8B0C98DC52052  ,20,74867AD200E41EDBA5D8B06B26F74052  ,JPY          ,2023.00,1700.00,323.00
74867AD200E41EDBA5D8B0C98DC52052  ,30,74867AD200E41EDBA5D8B06B26F1A052  ,JPY          ,130.90,110.00,20.90
74867AD200E41EDBA5D8B0C98DC54052  ,10,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,1535.10,1290.00,245.10
74867AD200E41EDBA5D8B0C98DC54052  ,20,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0.00,0.00,0.00
74867AD200E41EDBA5D8B0C98DC56052  ,10,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.10,390.00,74.10
74867AD200E41EDBA5D8B0C98DC56052  ,20,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,603.33,507.00,96.33
74867AD200E41EDBA5D8B0C98DC56052  ,30,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,154.70,130.00,24.70
74867AD200E41EDBA5D8B0C98DC56052  ,40,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338.00,64.22
74867AD200E41EDBA5D8B0C98DC58052  ,10,74867AD200E41EDBA5D8B06B26F76052  ,EUR          ,4284.00,3600.00,684.00
74867AD200E41EDBA5D8B0C98DC58052  ,20,74867AD200E41EDBA5D8B06B26F1C052  ,EUR          ,103.53,87.00,16.53
74867AD200E41EDBA5D8B0C98DC58052  ,30,74867AD200E41EDBA5D8B06B26EC2052  ,EUR          ,1638.63,1377.00,261.63
74867AD200E41EDBA5D8B0C98DC58052  ,40,74867AD200E41EDBA5D8B06B26F76052  ,EUR          ,4284.00,3600.00,684.00
74867AD200E41EDBA5D8B0C98DC58052  ,50,74867AD200E41EDBA5D8B06B26F1C052  ,EUR          ,69.02,58.00,11.02
74867AD200E41EDBA5D8B0C98DC58052  ,60,74867AD200E41EDBA5D8B06B26EC2052  ,EUR          ,546.21,459.00,87.21
74867AD200E41EDBA5D8B0C98DC58052  ,70,74867AD200E41EDBA5D8B06B26F76052  ,EUR          ,2856.00,2400.00,456.00
74867AD200E41EDBA5D8B0C98DC5A052  ,10,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,117.81,99.00,18.81
74867AD200E41EDBA5D8B0C98DC5A052  ,20,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900.00,10000.00,1900.00
74867AD200E41EDBA5D8B0C98DC5A052  ,30,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,1425.62,1198.00,227.62
74867AD200E41EDBA5D8B0C98DC5A052  ,40,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,235.62,198.00,37.62
74867AD200E41EDBA5D8B0C98DC5A052  ,50,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,17850.00,15000.00,2850.00
74867AD200E41EDBA5D8B0C98DC5A052  ,60,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,1425.62,1198.00,227.62
74867AD200E41EDBA5D8B0C98DC5A052  ,70,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,235.62,198.00,37.62
74867AD200E41EDBA5D8B0C98DC5A052  ,80,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900.00,10000.00,1900.00
74867AD200E41EDBA5D8B0C98DC5A052  ,90,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,2138.43,1797.00,341.43
74867AD200E41EDBA5D8B0C98DC5A052  ,100,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,353.43,297.00,56.43
74867AD200E41EDBA5D8B0C98DC5C052  ,10,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,1544.62,1298.00,246.62
74867AD200E41EDBA5D8B0C98DC5C052  ,20,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,8.33,7.00,1.33
74867AD200E41EDBA5D8B0C98DC5C052  ,30,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,3472.42,2918.00,554.42
74867AD200E41EDBA5D8B0C98DC5C052  ,40,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,1544.62,1298.00,246.62
74867AD200E41EDBA5D8B0C98DC5C052  ,50,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,16.66,14.00,2.66
74867AD200E41EDBA5D8B0C98DC5C052  ,60,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,3472.42,2918.00,554.42
74867AD200E41EDBA5D8B0C98DC5C052  ,70,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,2316.93,1947.00,369.93
74867AD200E41EDBA5D8B0C98DC5C052  ,80,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,24.99,21.00,3.99
74867AD200E41EDBA5D8B0C98DC5C052  ,90,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,3472.42,2918.00,554.42
74867AD200E41EDBA5D8B0C98DC5C052  ,100,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,2316.93,1947.00,369.93
74867AD200E41EDBA5D8B0C98DC5E052  ,10,74867AD200E41EDBA5D8B06B26EB4052  ,EUR          ,3412.92,2868.00,544.92
74867AD200E41EDBA5D8B0C98DC5E052  ,20,74867AD200E41EDBA5D8B06B26F68052  ,EUR          ,558.11,469.00,89.11
74867AD200E41EDBA5D8B0C98DC5E052  ,30,74867AD200E41EDBA5D8B06B26F0E052  ,EUR          ,61.88,52.00,9.88
74867AD200E41EDBA5D8B0C98DC5E052  ,40,74867AD200E41EDBA5D8B06B26EB4052  ,EUR          ,2275.28,1912.00,363.28
74867AD200E41EDBA5D8B0C98DC5E052  ,50,74867AD200E41EDBA5D8B06B26F68052  ,EUR          ,558.11,469.00,89.11
74867AD200E41EDBA5D8B0C98DC5E052  ,60,74867AD200E41EDBA5D8B06B26F0E052  ,EUR          ,61.88,52.00,9.88
74867AD200E41EDBA5D8B0C98DC5E052  ,70,74867AD200E41EDBA5D8B06B26EB4052  ,EUR          ,1137.64,956.00,181.64
74867AD200E41EDBA5D8B0C98DC5E052  ,80,74867AD200E41EDBA5D8B06B26F68052  ,EUR          ,1116.22,938.00,178.22
74867AD200E41EDBA5D8B0C98DC60052  ,10,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,674.73,567.00,107.73
74867AD200E41EDBA5D8B0C98DC60052  ,20,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,3173.73,2667.00,506.73
74867AD200E41EDBA5D8B0C98DC60052  ,30,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,674.73,567.00,107.73
74867AD200E41EDBA5D8B0C98DC60052  ,40,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,1057.91,889.00,168.91
74867AD200E41EDBA5D8B0C98DC60052  ,50,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,224.91,189.00,35.91
74867AD200E41EDBA5D8B0C98DC62052  ,10,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,21.18,17.80,3.38
74867AD200E41EDBA5D8B0C98DC62052  ,20,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,94.01,79.00,15.01
74867AD200E41EDBA5D8B0C98DC62052  ,30,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1218.56,1024.00,194.56
74867AD200E41EDBA5D8B0C98DC62052  ,40,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,10.59,8.90,1.69
74867AD200E41EDBA5D8B0C98DC62052  ,50,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,282.03,237.00,45.03
74867AD200E41EDBA5D8B0C98DC64052  ,10,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,201.11,169.00,32.11
74867AD200E41EDBA5D8B0C98DC64052  ,20,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,309.40,260.00,49.40
74867AD200E41EDBA5D8B0C98DC64052  ,30,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338.00,64.22
74867AD200E41EDBA5D8B0C98DC64052  ,40,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.10,390.00,74.10
74867AD200E41EDBA5D8B0C98DC64052  ,50,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338.00,64.22
74867AD200E41EDBA5D8B0C98DC64052  ,60,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,309.40,260.00,49.40
74867AD200E41EDBA5D8B0C98DC64052  ,70,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,603.33,507.00,96.33
74867AD200E41EDBA5D8B0C98DC66052  ,10,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,3484.32,2928.00,556.32
74867AD200E41EDBA5D8B0C98DC66052  ,20,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,1426.81,1199.00,227.81
74867AD200E41EDBA5D8B0C98DC66052  ,30,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,39.27,33.00,6.27
